CLASS#	PARTICLE DIST.	ROTATION	TRANSLATION
198	0.133075	5.100000	7.100000
0	0.129347	6.100000	6.100000
176	0.070983	4.600000	4.600000
42	0.063137	6.100000	6.100000
58	0.061693	6.100000	6.100000
120	0.061439	6.100000	5.900000
168	0.055238	6.100000	5.400000
126	0.051714	4.600000	5.200000
152	0.050611	6.100000	5.100000
189	0.046474	3.600000	4.300000
94	0.040509	4.600000	5.000000
74	0.039868	4.750000	4.600000
30	0.037276	5.400000	5.300000
1	0.026868	4.500000	3.650000
81	0.016742	7.100000	4.300000
71	0.008151	999.000000	999.000000
92	0.007759	999.000000	999.000000
50	0.007251	999.000000	999.000000
84	0.005612	999.000000	999.000000
24	0.005582	999.000000	999.000000
54	0.004330	999.000000	999.000000
191	0.004261	999.000000	999.000000
128	0.003949	999.000000	999.000000
156	0.003397	999.000000	999.000000
13	0.003060	999.000000	999.000000
161	0.002998	999.000000	999.000000
44	0.002757	999.000000	999.000000
131	0.002718	999.000000	999.000000
22	0.002597	999.000000	999.000000
185	0.002205	999.000000	999.000000
114	0.001908	999.000000	999.000000
48	0.001825	999.000000	999.000000
121	0.001718	999.000000	999.000000
4	0.001669	999.000000	999.000000
163	0.001631	999.000000	999.000000
155	0.001337	999.000000	999.000000
40	0.001297	999.000000	999.000000
47	0.001293	999.000000	999.000000
85	0.001159	999.000000	999.000000
46	0.001151	999.000000	999.000000
45	0.001114	999.000000	999.000000
69	0.001032	999.000000	999.000000
99	9.794879e-04	999.000000	999.000000
193	8.800286e-04	999.000000	999.000000
165	8.254127e-04	999.000000	999.000000
110	8.094788e-04	999.000000	999.000000
28	8.069255e-04	999.000000	999.000000
70	8.037876e-04	999.000000	999.000000
97	7.476212e-04	999.000000	999.000000
148	7.455861e-04	999.000000	999.000000
190	6.990556e-04	999.000000	999.000000
173	6.787495e-04	999.000000	999.000000
109	6.162607e-04	999.000000	999.000000
20	5.972897e-04	999.000000	999.000000
111	5.967958e-04	999.000000	999.000000
87	5.942304e-04	999.000000	999.000000
199	5.829781e-04	999.000000	999.000000
147	5.784475e-04	999.000000	999.000000
142	5.464941e-04	999.000000	999.000000
157	5.022429e-04	999.000000	999.000000
125	5.011601e-04	999.000000	999.000000
129	4.924296e-04	999.000000	999.000000
123	4.611958e-04	999.000000	999.000000
115	4.546053e-04	999.000000	999.000000
21	4.413252e-04	999.000000	999.000000
124	4.237550e-04	999.000000	999.000000
26	4.154212e-04	999.000000	999.000000
57	4.085128e-04	999.000000	999.000000
82	3.925043e-04	999.000000	999.000000
167	3.863791e-04	999.000000	999.000000
16	3.861138e-04	999.000000	999.000000
96	3.850579e-04	999.000000	999.000000
101	3.848303e-04	999.000000	999.000000
31	3.834011e-04	999.000000	999.000000
86	3.560283e-04	999.000000	999.000000
137	3.546478e-04	999.000000	999.000000
170	3.489459e-04	999.000000	999.000000
29	3.271822e-04	999.000000	999.000000
53	3.224519e-04	999.000000	999.000000
182	3.216520e-04	999.000000	999.000000
172	3.213988e-04	999.000000	999.000000
91	3.050554e-04	999.000000	999.000000
61	3.011033e-04	999.000000	999.000000
33	2.912975e-04	999.000000	999.000000
2	2.884067e-04	999.000000	999.000000
17	2.714129e-04	999.000000	999.000000
3	2.668106e-04	999.000000	999.000000
72	2.631514e-04	999.000000	999.000000
187	2.604838e-04	999.000000	999.000000
146	2.350103e-04	999.000000	999.000000
177	2.288190e-04	999.000000	999.000000
39	2.268096e-04	999.000000	999.000000
117	2.194004e-04	999.000000	999.000000
159	2.160419e-04	999.000000	999.000000
80	2.157145e-04	999.000000	999.000000
5	2.103526e-04	999.000000	999.000000
11	1.968977e-04	999.000000	999.000000
183	1.888933e-04	999.000000	999.000000
144	1.847833e-04	999.000000	999.000000
98	1.829016e-04	999.000000	999.000000
60	1.771039e-04	999.000000	999.000000
27	1.588070e-04	999.000000	999.000000
104	1.516273e-04	999.000000	999.000000
154	1.493664e-04	999.000000	999.000000
100	1.470518e-04	999.000000	999.000000
51	1.418790e-04	999.000000	999.000000
174	1.400142e-04	999.000000	999.000000
52	1.397279e-04	999.000000	999.000000
76	1.394475e-04	999.000000	999.000000
133	1.310232e-04	999.000000	999.000000
102	1.294363e-04	999.000000	999.000000
43	1.290676e-04	999.000000	999.000000
166	1.270194e-04	999.000000	999.000000
181	1.143753e-04	999.000000	999.000000
59	1.143466e-04	999.000000	999.000000
134	1.143354e-04	999.000000	999.000000
12	1.143139e-04	999.000000	999.000000
68	1.123739e-04	999.000000	999.000000
88	1.079960e-04	999.000000	999.000000
73	1.079913e-04	999.000000	999.000000
153	1.019723e-04	999.000000	999.000000
77	1.016439e-04	999.000000	999.000000
169	9.534224e-05	999.000000	999.000000
162	9.530762e-05	999.000000	999.000000
195	9.530583e-05	999.000000	999.000000
139	9.528851e-05	999.000000	999.000000
19	8.952205e-05	999.000000	999.000000
8	8.896977e-05	999.000000	999.000000
171	8.895658e-05	999.000000	999.000000
49	8.893613e-05	999.000000	999.000000
23	8.892554e-05	999.000000	999.000000
178	8.257786e-05	999.000000	999.000000
175	8.251565e-05	999.000000	999.000000
184	7.623640e-05	999.000000	999.000000
103	7.622207e-05	999.000000	999.000000
14	7.621804e-05	999.000000	999.000000
158	6.989163e-05	999.000000	999.000000
18	6.988843e-05	999.000000	999.000000
66	6.987344e-05	999.000000	999.000000
197	6.987196e-05	999.000000	999.000000
160	6.986709e-05	999.000000	999.000000
108	6.354717e-05	999.000000	999.000000
119	6.353945e-05	999.000000	999.000000
38	6.353388e-05	999.000000	999.000000
32	6.352627e-05	999.000000	999.000000
112	6.352558e-05	999.000000	999.000000
56	6.352218e-05	999.000000	999.000000
83	6.351725e-05	999.000000	999.000000
105	5.716991e-05	999.000000	999.000000
140	5.082760e-05	999.000000	999.000000
7	5.081267e-05	999.000000	999.000000
89	4.448412e-05	999.000000	999.000000
179	4.447697e-05	999.000000	999.000000
136	4.447191e-05	999.000000	999.000000
130	4.446436e-05	999.000000	999.000000
34	3.812902e-05	999.000000	999.000000
10	3.812787e-05	999.000000	999.000000
127	3.177575e-05	999.000000	999.000000
41	3.177253e-05	999.000000	999.000000
75	3.176391e-05	999.000000	999.000000
180	3.176002e-05	999.000000	999.000000
25	2.542038e-05	999.000000	999.000000
36	2.542025e-05	999.000000	999.000000
90	2.541917e-05	999.000000	999.000000
188	2.541792e-05	999.000000	999.000000
149	2.541639e-05	999.000000	999.000000
65	2.541025e-05	999.000000	999.000000
106	1.906556e-05	999.000000	999.000000
113	1.906536e-05	999.000000	999.000000
145	1.906412e-05	999.000000	999.000000
95	1.906229e-05	999.000000	999.000000
150	1.905715e-05	999.000000	999.000000
55	1.271037e-05	999.000000	999.000000
138	1.271037e-05	999.000000	999.000000
141	1.271037e-05	999.000000	999.000000
186	1.271037e-05	999.000000	999.000000
15	1.271026e-05	999.000000	999.000000
64	1.271016e-05	999.000000	999.000000
35	1.270938e-05	999.000000	999.000000
93	1.270809e-05	999.000000	999.000000
118	1.270539e-05	999.000000	999.000000
143	1.270479e-05	999.000000	999.000000
