CLASS#	PARTICLE DIST.	ROTATION	TRANSLATION
131	0.068901	6.900000	6.500000
66	0.056029	5.100000	7.300000
67	0.045795	7.100000	6.100000
113	0.043002	6.100000	6.500000
141	0.042914	7.100000	6.100000
78	0.042481	2.600000	5.100000
46	0.039286	4.100000	4.950000
59	0.039086	5.100000	6.100000
61	0.038200	6.100000	6.300000
192	0.037683	3.450000	5.200000
56	0.036481	5.100000	6.600000
177	0.036159	7.100000	6.100000
7	0.031453	5.100000	4.700000
97	0.030468	4.600000	4.800000
149	0.030373	5.050000	6.700000
28	0.029060	6.000000	6.100000
47	0.025109	5.100000	6.100000
92	0.023666	6.100000	5.800000
153	0.023627	4.100000	5.150000
180	0.022192	5.400000	4.850000
129	0.021032	5.400000	6.600000
107	0.017430	5.100000	5.700000
100	0.015286	6.100000	5.300000
120	0.012878	7.100000	5.500000
183	0.011653	6.100000	5.500000
40	0.009468	2.600000	3.800000
139	0.008298	999.000000	999.000000
140	0.007723	999.000000	999.000000
93	0.007697	999.000000	999.000000
193	0.007314	999.000000	999.000000
14	0.007140	999.000000	999.000000
79	0.006969	999.000000	999.000000
55	0.006511	999.000000	999.000000
168	0.006285	999.000000	999.000000
126	0.005628	999.000000	999.000000
83	0.005226	999.000000	999.000000
163	0.004847	999.000000	999.000000
99	0.004236	999.000000	999.000000
184	0.003979	999.000000	999.000000
179	0.003785	999.000000	999.000000
142	0.003659	999.000000	999.000000
143	0.003456	999.000000	999.000000
30	0.003130	999.000000	999.000000
51	0.002552	999.000000	999.000000
72	0.002481	999.000000	999.000000
50	0.002349	999.000000	999.000000
173	0.002320	999.000000	999.000000
152	0.002307	999.000000	999.000000
182	0.002237	999.000000	999.000000
33	0.002192	999.000000	999.000000
44	0.002054	999.000000	999.000000
29	0.002007	999.000000	999.000000
41	0.001843	999.000000	999.000000
87	0.001800	999.000000	999.000000
156	0.001749	999.000000	999.000000
10	0.001740	999.000000	999.000000
53	0.001682	999.000000	999.000000
76	0.001597	999.000000	999.000000
5	0.001551	999.000000	999.000000
167	0.001435	999.000000	999.000000
0	0.001422	999.000000	999.000000
91	0.001301	999.000000	999.000000
157	0.001264	999.000000	999.000000
18	0.001173	999.000000	999.000000
109	0.001139	999.000000	999.000000
20	0.001117	999.000000	999.000000
135	0.001051	999.000000	999.000000
19	0.001049	999.000000	999.000000
23	0.001027	999.000000	999.000000
159	9.946889e-04	999.000000	999.000000
42	9.581441e-04	999.000000	999.000000
138	9.446310e-04	999.000000	999.000000
35	9.332885e-04	999.000000	999.000000
2	9.157787e-04	999.000000	999.000000
150	8.368512e-04	999.000000	999.000000
45	7.842902e-04	999.000000	999.000000
195	7.380271e-04	999.000000	999.000000
21	7.222313e-04	999.000000	999.000000
144	6.908963e-04	999.000000	999.000000
106	6.742227e-04	999.000000	999.000000
128	6.635959e-04	999.000000	999.000000
48	6.583286e-04	999.000000	999.000000
96	6.081929e-04	999.000000	999.000000
161	6.066016e-04	999.000000	999.000000
164	5.812604e-04	999.000000	999.000000
32	5.797755e-04	999.000000	999.000000
172	5.143153e-04	999.000000	999.000000
137	4.949858e-04	999.000000	999.000000
89	4.796400e-04	999.000000	999.000000
12	4.673559e-04	999.000000	999.000000
199	4.510336e-04	999.000000	999.000000
198	4.318971e-04	999.000000	999.000000
38	4.166173e-04	999.000000	999.000000
116	3.975021e-04	999.000000	999.000000
170	3.942697e-04	999.000000	999.000000
36	3.728687e-04	999.000000	999.000000
82	3.684338e-04	999.000000	999.000000
43	3.463880e-04	999.000000	999.000000
117	3.421084e-04	999.000000	999.000000
178	3.369946e-04	999.000000	999.000000
166	3.367069e-04	999.000000	999.000000
186	3.233021e-04	999.000000	999.000000
73	3.136147e-04	999.000000	999.000000
52	3.010558e-04	999.000000	999.000000
134	2.975968e-04	999.000000	999.000000
110	2.871454e-04	999.000000	999.000000
197	2.808342e-04	999.000000	999.000000
71	2.804979e-04	999.000000	999.000000
115	2.707965e-04	999.000000	999.000000
146	2.670721e-04	999.000000	999.000000
77	2.589142e-04	999.000000	999.000000
34	2.582610e-04	999.000000	999.000000
69	2.531529e-04	999.000000	999.000000
62	2.521648e-04	999.000000	999.000000
4	2.505857e-04	999.000000	999.000000
15	2.472990e-04	999.000000	999.000000
11	2.447727e-04	999.000000	999.000000
165	2.395004e-04	999.000000	999.000000
74	2.325828e-04	999.000000	999.000000
132	2.272713e-04	999.000000	999.000000
102	2.223798e-04	999.000000	999.000000
86	2.194699e-04	999.000000	999.000000
80	2.102126e-04	999.000000	999.000000
26	2.096342e-04	999.000000	999.000000
22	2.034628e-04	999.000000	999.000000
17	1.792655e-04	999.000000	999.000000
1	1.715911e-04	999.000000	999.000000
68	1.709502e-04	999.000000	999.000000
114	1.659065e-04	999.000000	999.000000
154	1.587605e-04	999.000000	999.000000
70	1.529106e-04	999.000000	999.000000
124	1.460593e-04	999.000000	999.000000
118	1.460324e-04	999.000000	999.000000
174	1.398392e-04	999.000000	999.000000
111	1.397087e-04	999.000000	999.000000
119	1.333870e-04	999.000000	999.000000
148	1.282694e-04	999.000000	999.000000
13	1.274053e-04	999.000000	999.000000
81	1.210206e-04	999.000000	999.000000
130	1.207068e-04	999.000000	999.000000
125	1.206567e-04	999.000000	999.000000
