CLASS#	PARTICLE DIST.	ROTATION	TRANSLATION
104	0.116322	4.800000	6.700000
129	0.090850	6.100000	6.200000
71	0.083609	6.100000	5.500000
185	0.070398	4.600000	5.600000
63	0.065333	4.600000	4.500000
85	0.063849	4.600000	3.750000
141	0.062433	4.600000	5.600000
46	0.060553	4.800000	4.900000
48	0.056495	4.750000	5.800000
163	0.056418	5.100000	5.100000
116	0.047975	4.600000	4.850000
61	0.037986	5.100000	4.600000
21	0.031808	3.600000	4.100000
132	0.023611	4.600000	4.350000
6	0.016730	3.600000	2.700000
39	0.010274	5.100000	4.100000
26	0.008653	999.000000	999.000000
180	0.008407	999.000000	999.000000
158	0.005571	999.000000	999.000000
24	0.005102	999.000000	999.000000
188	0.004065	999.000000	999.000000
23	0.003536	999.000000	999.000000
49	0.003129	999.000000	999.000000
7	0.003071	999.000000	999.000000
66	0.003071	999.000000	999.000000
51	0.002789	999.000000	999.000000
70	0.002784	999.000000	999.000000
123	0.002760	999.000000	999.000000
0	0.002705	999.000000	999.000000
175	0.002693	999.000000	999.000000
12	0.002547	999.000000	999.000000
127	0.002279	999.000000	999.000000
197	0.002205	999.000000	999.000000
88	0.002140	999.000000	999.000000
53	0.002129	999.000000	999.000000
189	0.002053	999.000000	999.000000
179	0.001537	999.000000	999.000000
11	0.001519	999.000000	999.000000
35	0.001112	999.000000	999.000000
111	0.001057	999.000000	999.000000
87	9.761862e-04	999.000000	999.000000
72	9.442193e-04	999.000000	999.000000
73	8.669455e-04	999.000000	999.000000
5	8.641823e-04	999.000000	999.000000
196	8.622268e-04	999.000000	999.000000
169	8.590623e-04	999.000000	999.000000
38	8.469111e-04	999.000000	999.000000
168	7.958962e-04	999.000000	999.000000
19	7.873520e-04	999.000000	999.000000
138	7.517763e-04	999.000000	999.000000
192	6.716697e-04	999.000000	999.000000
118	6.659528e-04	999.000000	999.000000
33	6.491615e-04	999.000000	999.000000
58	5.698185e-04	999.000000	999.000000
128	5.227908e-04	999.000000	999.000000
161	4.984060e-04	999.000000	999.000000
77	4.892985e-04	999.000000	999.000000
120	4.695201e-04	999.000000	999.000000
150	4.600811e-04	999.000000	999.000000
145	4.540055e-04	999.000000	999.000000
170	4.070364e-04	999.000000	999.000000
29	3.837672e-04	999.000000	999.000000
137	3.836945e-04	999.000000	999.000000
60	3.810092e-04	999.000000	999.000000
126	3.775272e-04	999.000000	999.000000
172	3.621878e-04	999.000000	999.000000
157	3.390504e-04	999.000000	999.000000
41	3.367871e-04	999.000000	999.000000
67	3.353183e-04	999.000000	999.000000
14	3.169722e-04	999.000000	999.000000
174	2.986871e-04	999.000000	999.000000
79	2.732227e-04	999.000000	999.000000
64	2.720970e-04	999.000000	999.000000
149	2.681823e-04	999.000000	999.000000
198	2.621763e-04	999.000000	999.000000
34	2.603245e-04	999.000000	999.000000
125	2.602843e-04	999.000000	999.000000
199	2.506660e-04	999.000000	999.000000
162	2.477319e-04	999.000000	999.000000
136	2.474231e-04	999.000000	999.000000
31	2.461180e-04	999.000000	999.000000
186	2.247945e-04	999.000000	999.000000
195	2.167885e-04	999.000000	999.000000
119	2.121962e-04	999.000000	999.000000
122	2.033524e-04	999.000000	999.000000
44	2.032738e-04	999.000000	999.000000
108	2.032511e-04	999.000000	999.000000
133	1.982210e-04	999.000000	999.000000
159	1.908005e-04	999.000000	999.000000
59	1.842356e-04	999.000000	999.000000
50	1.839498e-04	999.000000	999.000000
183	1.780323e-04	999.000000	999.000000
76	1.778741e-04	999.000000	999.000000
47	1.778633e-04	999.000000	999.000000
98	1.778405e-04	999.000000	999.000000
42	1.510076e-04	999.000000	999.000000
45	1.495784e-04	999.000000	999.000000
147	1.333783e-04	999.000000	999.000000
94	1.279867e-04	999.000000	999.000000
99	1.270913e-04	999.000000	999.000000
37	1.270720e-04	999.000000	999.000000
184	1.270365e-04	999.000000	999.000000
134	1.270330e-04	999.000000	999.000000
75	1.223022e-04	999.000000	999.000000
92	1.209769e-04	999.000000	999.000000
68	1.143762e-04	999.000000	999.000000
160	1.080040e-04	999.000000	999.000000
135	1.079946e-04	999.000000	999.000000
146	1.079794e-04	999.000000	999.000000
100	1.057957e-04	999.000000	999.000000
86	1.016770e-04	999.000000	999.000000
97	1.016631e-04	999.000000	999.000000
191	1.016410e-04	999.000000	999.000000
95	1.016283e-04	999.000000	999.000000
131	9.555288e-05	999.000000	999.000000
124	9.530290e-05	999.000000	999.000000
121	9.529489e-05	999.000000	999.000000
55	9.527527e-05	999.000000	999.000000
142	8.895550e-05	999.000000	999.000000
2	8.893343e-05	999.000000	999.000000
112	8.258076e-05	999.000000	999.000000
143	8.257144e-05	999.000000	999.000000
190	7.625406e-05	999.000000	999.000000
15	7.624331e-05	999.000000	999.000000
105	7.623773e-05	999.000000	999.000000
155	7.622762e-05	999.000000	999.000000
167	6.990013e-05	999.000000	999.000000
3	6.988680e-05	999.000000	999.000000
110	6.988554e-05	999.000000	999.000000
182	6.988459e-05	999.000000	999.000000
40	6.988454e-05	999.000000	999.000000
187	6.987728e-05	999.000000	999.000000
165	6.353742e-05	999.000000	999.000000
164	6.352626e-05	999.000000	999.000000
103	5.880735e-05	999.000000	999.000000
178	5.719427e-05	999.000000	999.000000
10	5.716657e-05	999.000000	999.000000
36	5.082931e-05	999.000000	999.000000
84	5.082497e-05	999.000000	999.000000
28	5.081939e-05	999.000000	999.000000
177	5.081781e-05	999.000000	999.000000
52	4.448536e-05	999.000000	999.000000
20	4.448335e-05	999.000000	999.000000
56	4.448121e-05	999.000000	999.000000
4	4.448117e-05	999.000000	999.000000
1	4.447410e-05	999.000000	999.000000
74	4.447370e-05	999.000000	999.000000
43	3.812295e-05	999.000000	999.000000
8	3.811360e-05	999.000000	999.000000
9	3.177499e-05	999.000000	999.000000
181	3.176462e-05	999.000000	999.000000
144	3.176395e-05	999.000000	999.000000
114	2.542004e-05	999.000000	999.000000
109	2.541362e-05	999.000000	999.000000
102	1.906554e-05	999.000000	999.000000
153	1.906554e-05	999.000000	999.000000
69	1.906551e-05	999.000000	999.000000
78	1.906534e-05	999.000000	999.000000
65	1.906481e-05	999.000000	999.000000
139	1.906476e-05	999.000000	999.000000
18	1.906437e-05	999.000000	999.000000
176	1.906397e-05	999.000000	999.000000
140	1.906357e-05	999.000000	999.000000
154	1.906201e-05	999.000000	999.000000
106	1.905951e-05	999.000000	999.000000
93	1.905791e-05	999.000000	999.000000
194	1.905766e-05	999.000000	999.000000
96	1.905753e-05	999.000000	999.000000
30	1.271036e-05	999.000000	999.000000
82	1.271036e-05	999.000000	999.000000
148	1.271036e-05	999.000000	999.000000
156	1.271036e-05	999.000000	999.000000
22	1.271035e-05	999.000000	999.000000
54	1.271035e-05	999.000000	999.000000
57	1.271035e-05	999.000000	999.000000
83	1.271034e-05	999.000000	999.000000
27	1.270953e-05	999.000000	999.000000
17	6.355180e-06	999.000000	999.000000
25	6.355180e-06	999.000000	999.000000
32	6.355180e-06	999.000000	999.000000
62	6.355180e-06	999.000000	999.000000
152	6.355180e-06	999.000000	999.000000
166	6.355180e-06	999.000000	999.000000
173	6.355180e-06	999.000000	999.000000
130	6.355158e-06	999.000000	999.000000
91	6.355099e-06	999.000000	999.000000
151	6.354798e-06	999.000000	999.000000
101	6.354691e-06	999.000000	999.000000
16	6.354510e-06	999.000000	999.000000
80	6.354418e-06	999.000000	999.000000
90	6.354318e-06	999.000000	999.000000
171	6.353838e-06	999.000000	999.000000
89	6.352884e-06	999.000000	999.000000
117	6.352617e-06	999.000000	999.000000
13	0.000000	999.000000	999.000000
81	0.000000	999.000000	999.000000
107	0.000000	999.000000	999.000000
113	0.000000	999.000000	999.000000
115	0.000000	999.000000	999.000000
193	0.000000	999.000000	999.000000
