CLASS#	PARTICLE DIST.	ROTATION	TRANSLATION
59	0.082751	6.100000	6.700000
78	0.074824	5.100000	7.600000
18	0.055977	6.100000	6.600000
151	0.052770	6.100000	6.600000
48	0.049287	5.800000	6.600000
46	0.048985	3.100000	4.850000
166	0.044266	6.100000	6.500000
17	0.040925	7.100000	6.100000
25	0.038875	4.600000	4.600000
174	0.035341	5.100000	5.900000
180	0.029792	5.100000	6.100000
102	0.029232	5.100000	5.450000
98	0.028124	3.600000	4.250000
115	0.026359	4.600000	6.100000
69	0.025431	5.100000	6.100000
146	0.024999	5.300000	6.100000
198	0.023867	6.100000	5.800000
13	0.020995	6.100000	5.500000
179	0.020836	7.100000	5.900000
41	0.016783	5.100000	4.600000
138	0.016697	5.100000	4.600000
173	0.014507	3.600000	5.600000
93	0.014282	6.100000	5.100000
159	0.011300	6.100000	5.300000
111	0.010660	3.600000	4.400000
14	0.010138	7.100000	4.650000
72	0.007612	999.000000	999.000000
106	0.006549	999.000000	999.000000
169	0.006346	999.000000	999.000000
139	0.006140	999.000000	999.000000
92	0.006088	999.000000	999.000000
20	0.005002	999.000000	999.000000
187	0.004360	999.000000	999.000000
61	0.004056	999.000000	999.000000
34	0.004027	999.000000	999.000000
152	0.003679	999.000000	999.000000
77	0.003656	999.000000	999.000000
107	0.003486	999.000000	999.000000
70	0.003129	999.000000	999.000000
124	0.003034	999.000000	999.000000
168	0.002899	999.000000	999.000000
74	0.002898	999.000000	999.000000
122	0.002602	999.000000	999.000000
27	0.002553	999.000000	999.000000
7	0.002456	999.000000	999.000000
110	0.002241	999.000000	999.000000
16	0.002206	999.000000	999.000000
164	0.002174	999.000000	999.000000
87	0.002038	999.000000	999.000000
130	0.001963	999.000000	999.000000
163	0.001852	999.000000	999.000000
148	0.001625	999.000000	999.000000
176	0.001605	999.000000	999.000000
137	0.001594	999.000000	999.000000
29	0.001559	999.000000	999.000000
33	0.001490	999.000000	999.000000
36	0.001470	999.000000	999.000000
45	0.001327	999.000000	999.000000
42	0.001186	999.000000	999.000000
67	0.001108	999.000000	999.000000
80	0.001093	999.000000	999.000000
60	0.001063	999.000000	999.000000
116	0.001043	999.000000	999.000000
37	0.001016	999.000000	999.000000
117	9.910535e-04	999.000000	999.000000
193	9.694892e-04	999.000000	999.000000
26	9.577709e-04	999.000000	999.000000
91	8.926659e-04	999.000000	999.000000
181	8.913916e-04	999.000000	999.000000
47	8.641585e-04	999.000000	999.000000
55	8.507167e-04	999.000000	999.000000
114	8.443289e-04	999.000000	999.000000
53	8.412243e-04	999.000000	999.000000
75	8.266116e-04	999.000000	999.000000
129	8.124022e-04	999.000000	999.000000
15	8.059791e-04	999.000000	999.000000
199	7.996450e-04	999.000000	999.000000
178	7.532519e-04	999.000000	999.000000
167	7.451285e-04	999.000000	999.000000
54	7.210018e-04	999.000000	999.000000
182	7.188917e-04	999.000000	999.000000
190	7.000017e-04	999.000000	999.000000
57	6.883097e-04	999.000000	999.000000
43	6.862202e-04	999.000000	999.000000
94	6.675827e-04	999.000000	999.000000
195	6.655217e-04	999.000000	999.000000
128	6.536176e-04	999.000000	999.000000
24	6.483683e-04	999.000000	999.000000
156	6.279607e-04	999.000000	999.000000
11	5.674094e-04	999.000000	999.000000
62	5.596826e-04	999.000000	999.000000
161	5.585123e-04	999.000000	999.000000
165	5.529218e-04	999.000000	999.000000
79	5.367595e-04	999.000000	999.000000
44	5.147059e-04	999.000000	999.000000
3	5.049449e-04	999.000000	999.000000
188	4.843608e-04	999.000000	999.000000
68	4.799318e-04	999.000000	999.000000
118	4.681923e-04	999.000000	999.000000
186	4.640576e-04	999.000000	999.000000
65	4.592958e-04	999.000000	999.000000
21	4.494299e-04	999.000000	999.000000
8	4.405910e-04	999.000000	999.000000
32	4.375095e-04	999.000000	999.000000
105	4.277609e-04	999.000000	999.000000
95	4.256611e-04	999.000000	999.000000
5	4.117228e-04	999.000000	999.000000
50	4.114993e-04	999.000000	999.000000
12	4.085186e-04	999.000000	999.000000
131	3.911302e-04	999.000000	999.000000
183	3.874790e-04	999.000000	999.000000
2	3.810218e-04	999.000000	999.000000
23	3.768944e-04	999.000000	999.000000
197	3.602006e-04	999.000000	999.000000
141	3.447551e-04	999.000000	999.000000
1	3.437710e-04	999.000000	999.000000
85	3.269262e-04	999.000000	999.000000
96	3.233261e-04	999.000000	999.000000
140	3.102971e-04	999.000000	999.000000
171	3.074867e-04	999.000000	999.000000
158	3.031902e-04	999.000000	999.000000
149	2.988953e-04	999.000000	999.000000
73	2.984296e-04	999.000000	999.000000
127	2.836469e-04	999.000000	999.000000
194	2.796175e-04	999.000000	999.000000
101	2.701313e-04	999.000000	999.000000
89	2.619745e-04	999.000000	999.000000
135	2.572862e-04	999.000000	999.000000
4	2.494669e-04	999.000000	999.000000
31	2.260405e-04	999.000000	999.000000
97	2.103670e-04	999.000000	999.000000
160	2.032808e-04	999.000000	999.000000
99	2.028163e-04	999.000000	999.000000
49	2.023963e-04	999.000000	999.000000
35	1.988546e-04	999.000000	999.000000
125	1.978486e-04	999.000000	999.000000
189	1.951140e-04	999.000000	999.000000
82	1.889721e-04	999.000000	999.000000
90	1.842465e-04	999.000000	999.000000
142	1.840610e-04	999.000000	999.000000
66	1.651276e-04	999.000000	999.000000
56	1.651094e-04	999.000000	999.000000
157	1.651037e-04	999.000000	999.000000
185	1.550147e-04	999.000000	999.000000
123	1.542223e-04	999.000000	999.000000
113	1.442166e-04	999.000000	999.000000
121	1.438361e-04	999.000000	999.000000
100	1.398586e-04	999.000000	999.000000
19	1.333912e-04	999.000000	999.000000
51	1.333622e-04	999.000000	999.000000
119	1.292970e-04	999.000000	999.000000
177	1.210475e-04	999.000000	999.000000
81	1.080331e-04	999.000000	999.000000
175	1.079846e-04	999.000000	999.000000
22	1.079557e-04	999.000000	999.000000
170	1.016129e-04	999.000000	999.000000
40	1.016056e-04	999.000000	999.000000
192	9.529597e-05	999.000000	999.000000
126	9.528050e-05	999.000000	999.000000
9	9.526222e-05	999.000000	999.000000
83	9.505848e-05	999.000000	999.000000
103	8.888462e-05	999.000000	999.000000
28	8.255209e-05	999.000000	999.000000
84	8.145772e-05	999.000000	999.000000
143	7.623894e-05	999.000000	999.000000
196	7.621786e-05	999.000000	999.000000
86	6.986660e-05	999.000000	999.000000
71	6.986264e-05	999.000000	999.000000
155	6.964019e-05	999.000000	999.000000
191	6.351878e-05	999.000000	999.000000
88	5.718139e-05	999.000000	999.000000
145	5.717498e-05	999.000000	999.000000
153	5.715701e-05	999.000000	999.000000
58	4.448496e-05	999.000000	999.000000
162	4.445851e-05	999.000000	999.000000
133	3.811996e-05	999.000000	999.000000
109	3.810416e-05	999.000000	999.000000
150	3.177196e-05	999.000000	999.000000
147	3.175654e-05	999.000000	999.000000
108	2.541458e-05	999.000000	999.000000
64	2.541197e-05	999.000000	999.000000
0	2.540860e-05	999.000000	999.000000
76	1.906415e-05	999.000000	999.000000
52	1.906340e-05	999.000000	999.000000
154	1.906167e-05	999.000000	999.000000
